,Tariff Sheet URL,Utility Domain URL,robots.txt URL,Crawling_Allowed,Num_Ratepayers,Utility Domain (WWW Only)
4835,http://jocarroll.coopwebbuilder2.com/sites/jocarroll/files/images/Rates1/Dual%20Fuel%20-%20Policy%20No.%20705.pdf,http://jocarroll.coopwebbuilder2.com,http://jocarroll.coopwebbuilder2.com/robots.txt,False,0,jocarroll.coopwebbuilder2.com
4837,https://www.fountaincolorado.org/egov/docs/1379358976_940307.pdf,https://www.fountaincolorado.org,https://www.fountaincolorado.org/robots.txt,False,0,www.fountaincolorado.org
4840,https://www.sce.com/NR/sc3/tm2/pdf/ce41-12.pdf,https://www.sce.com,https://www.sce.com/robots.txt,False,0,www.sce.com
4842,http://energy.gov/sites/prod/files/2013/06/f1/Santee-3-E.pdf,http://energy.gov,http://energy.gov/robots.txt,False,0,energy.gov
4845,http://www.corbinutilities.com/index.php?option=com_docman&task=doc_download&gid=3&Itemid=63,http://www.corbinutilities.com,http://www.corbinutilities.com/robots.txt,False,0,www.corbinutilities.com
4846,http://www.wrecc.com/business/rates.aspx,http://www.wrecc.com,http://www.wrecc.com/robots.txt,False,0,www.wrecc.com
4849,http://www.mleainc.com/pdf/rates/rate_sch_gs-3.pdf,http://www.mleainc.com,http://www.mleainc.com/robots.txt,False,0,www.mleainc.com
4850,http://www.singingriver.com/Files/R-18.pdf,http://www.singingriver.com,http://www.singingriver.com/robots.txt,False,0,www.singingriver.com
4851,http://www.vinelandcity.org/electric/vmeusite/index_files/Page1643.htm,http://www.vinelandcity.org,http://www.vinelandcity.org/robots.txt,False,0,www.vinelandcity.org
4854,http://www.kvremc.com/Documents/2012RateScheduleSRSeasonalRecreational.pdf,http://www.kvremc.com,http://www.kvremc.com/robots.txt,False,0,www.kvremc.com
4856,http://adamsec.coopwebbuilder.com/sites/adamsec.coopwebbuilder.com/files/rate_schedules_revised__12-31-12.pdf,http://adamsec.coopwebbuilder.com,http://adamsec.coopwebbuilder.com/robots.txt,False,0,adamsec.coopwebbuilder.com
4857,http://www.cityofstarke.org/Sites/17/Images/UTILITY%20RATE%20SHEET%202011-12.pdf,http://www.cityofstarke.org,http://www.cityofstarke.org/robots.txt,False,0,www.cityofstarke.org
4859,http://documents.ecec.com/Public/electric/rates/2012/rater.pdf,http://documents.ecec.com,http://documents.ecec.com/robots.txt,False,0,documents.ecec.com
4864,http://yvea.coopwebbuilder2.com/sites/yvea/files/PDF/sheet_no._04.pdf,http://yvea.coopwebbuilder2.com,http://yvea.coopwebbuilder2.com/robots.txt,False,0,yvea.coopwebbuilder2.com
